gene_symbol	disease_OMIM_ID
ADH2	103780
ADH3	103780
ADH3	168600
ADHAPS	600121
ADHD1	143465
ADHD2	143465
ADHD3	143465
ADHD4	143465
ADHD7	608516
ADHD7	613003
ADHR	193100
ADHR	211900
ADHR	300539
ADHR	304800
ADIPOQ	612556
ADIPQTL1	612556
ADK	614300
ADL	608099
ADLD	169500
ADLTE	600512
ADMCKD2	162000
ADMCKD2	603860
ADMCKD2	609886
ADMD	133190
ADMD	600110
ADMD	614457
ADMFD	613385
ADMIO1	147060
ADMIO1	615952
ADMIO2	269840
ADMIO2	617006
ADMLX	308700
ADN	613912
ADNP	615873
ADNP1	615873
ADPEAF	600512
ADRA2B	607876
ADRA2L1	607876
ADRB1	607276
ADRB1R	607276
ADRB2	600807
ADRB2	601665
ADRB2RL1	614674
ADRB3	601665
ADSD	609161
ADSD	614190
ADSD2	616921
ADSD2	616922
ADSL	103050
ADSL1	617030
ADTB3A	608233
ADWH	194300
ADWH	613981
ADWH	614929
AE1	110500
AE1	112010
AE1	112050
AE1	166900
AE1	179800
AE1	185020
AE1	601550
AE1	601551
AE1	611162
AE1	611590
AE1	612653
AEACEI	300909
AEMK	160120
AF10	601626
AF15Q14	604321
AF5Q31	616368
AFA1	1
AFD1	154400
AFDCIN	616462
AFF2	309548
AFF4	616368
AFG3L2	610246
AFG3L2	614487
AFND	603671
AFP	615969
AFP	615970
AFPD	615969
AFPD	615970
AGA	208400
AGA2	2
AGA3	3
AGAT	612718
AGBK	200990
AGBK	607131
AGBK	614120
AGBL1	615523
AGBL5	617023
AGC1	165800
AGC1	608361
AGC1	612813
AGK	212350
AGK	614691
AGL	232400
AGM1	601495
AGM1	615816
AGM2	613500
AGM4	613502
AGM5	613506
AGM6	612692
AGM7	269880
AGM7	615214
AGM7	616005
AGM8	616941
AGMX1	300755
AGMX1	307200
AGMX2	2
AGO61	614830
AGOTC	202650
AGPAT2	608594
AGPS	600121
AGRN	615120
AGRP	601665
AGRT	601665
AGS1	118450
AGS1	152700
AGS1	187500
AGS1	192315
AGS1	225750
AGS1	610448
AGS2	102500
AGS2	610181
AGS2	610205
AGS3	610329
AGS4	610333
AGS5	612952
AGS5	614415
AGS6	127400
AGS6	615010
AGS7	182250
AGS7	615846
AGT	145500
AGT	267430
AGTIL	611742
AGTR1	145500
AGTR1	267430
AGTR1A	145500
AGTR1A	267430
AGXT	259900
AGXT2L2	615011
AHC	300018
AHC	300200
AHC2	128235
AHC2	601338
AHC2	614820
AHCY	613752
AHD	118450
AHD	187500
AHDC1	615829
AHI1	608629
AHMIO1	206100
AHMIO2	615234
AHO	102200
AHO	103580
AHO	166350
AHO	174800
AHO	219080
AHO	603233
AHO	612462
AHO	612463
AHUS1	126700
AHUS1	235400
AHUS1	609814
AHUS1	610698
AHUS2	612922
AHUS3	610984
AHUS3	612923
AHUS3	615439
AHUS4	612924
AHUS4	615489
AHUS4	615561
AHUS5	611378
AHUS5	612925
AHUS5	613779
AHUS6	612926
AHUS6	614486
AHUS7	615008
AHX	300018
AHX	300200
AI1A	104530
AI1A	226650
AI1A	226700
AI1C	104500
AI1C	204650
AI1E	301200
AI1E2	2
AI1F	616270
AI1G	204690
AI1H	616221
AI1J	617297
AI2A1	204700
AI2A2	612529
AI2A3	613211
AI2A4	614832
AI2A5	210750
AI2A5	615887
AI2A6	617217
AI3	130900
AI4	104510
AI4	190320
AIADK	606579
AIADK	615255
AIADK	617388
AIBP	617186
AICAR	608688
AICDA	605258
AID	605258
AIE2	243060
AIED	300071
AIED	300476
AIED	300600
AIF	300614
AIF	300816
AIF	310490
AIFEC	616050
AIFEC	616115
AIFM1	300614
AIFM1	300816
AIFM1	310490
AIGFS	204690
AIH1	301200
AIH2	104500
AIH2	204650
AIH3	2
AIID	222100
AIID	304790
AIK	114500
AILIM	607594
AILJK	616414
AIM1	227240
AIM1	606574
AIMAH2	615954
AIMP1	260600
AIP	102200
AIP	219090
AIP	600634
AIP4	613385
AIPDS	617099
AIPL1	604393
AIRE	240300
AIS	1
AIS1	607836
AIS2	2
AIS6	613551
AISBL	616744
AITD3	274700
AITD3	608175
AK1	612631
AK2	267500
AKAP10	115080
AKAP450	611820
AKAP9	611820
AKR1C2	614279
AKR1C4	614279
AKR1D1	235555
AKT1	114480
AKT1	114500
AKT1	167000
AKT1	176920
AKT1	181500
AKT1	615109
AKT2	125853
AKT2	240900
AKT3	615937
AKU	203500
ALAD	612740
ALADH	612740
ALAS2	300751
ALAS2	300752
ALAZS	615071
ALB	615999
ALB	616000
ALD	300100
ALDD	256040
ALDH10	270200
ALDH18A1	219150
ALDH18A1	601162
ALDH18A1	616586
ALDH18A1	616603
ALDH1A3	615113
ALDH2	610251
ALDH3A2	270200
ALDH4	239510
ALDH4A1	239510
ALDH5A1	271980
ALDH6	615113
ALDH6A1	614105
ALDH7A1	266100
ALDOA	611881
ALDOB	229600
ALG1	608540
ALG10	613688
ALG11	613661
ALG12	607143
ALG13	300884
ALG14	616227
ALG2	607906
ALG2	616228
ALG3	601110
ALG6	603147
ALG8	608104
ALG9	263210
ALG9	608776
ALK	613014
ALK1	600376
ALK2	135100
ALK3	174900
ALK3	610069
ALK5	132800
ALK5	609192
ALK6	112600
ALK6	609441
ALK6	616849
ALL	608232
ALL	613065
ALL3	615545
ALMS1	203800
ALO17	607151
ALOX12B	242100
ALOX5	600807
ALOX5AP	601367
ALOXE3	606545
ALPL	146300
ALPL	241500
ALPL	241510
ALPS1A	601859
ALPS1B	211980
ALPS1B	601859
ALPS2	603909
ALPS2	605027
ALPS2	613659
ALPS2B	114480
ALPS2B	114550
ALPS2B	211980
ALPS2B	607271
ALPS3	615559
ALPS4	114500
ALPS4	137550
ALPS4	162900
ALPS4	163200
ALPS4	188470
ALPS4	249400
ALPS4	613224
ALPS4	614470
ALPS5	140300
ALPS5	152700
ALPS5	601388
ALPS5	609755
ALPS5	616100
ALR	147920
ALR	613076
ALRH	600807
ALRH	607154
ALS	615961
ALS1	105400
ALS10	612069
ALS11	216340
ALS11	611228
ALS11	612577
ALS11	612691
ALS12	137760
ALS12	606657
ALS12	613435
ALS14	167320
ALS14	613954
ALS14	616687
ALS15	300857
ALS16	605726
ALS16	614373
ALS17	600795
ALS17	614696
ALS18	614808
ALS19	615515
ALS2	205100
ALS2	606353
ALS2	607225
ALS20	615424
ALS20	615426
ALS21	606070
ALS22	616208
ALS2CR4	614424
ALS3	3
ALS4	602433
ALS4	606002
ALS5	602099
ALS5	604360
ALS5	616668
ALS6	608030
ALS6	614782
ALS7	7
ALS8	182980
ALS8	608627
ALS9	611895
ALSFTD	105550
ALSJ	205100
ALSJ	606353
ALSJ	607225
ALSPDC	105500
ALSS	203800
ALT2	616281
ALX1	613456
ALX3	136760
ALX4	609597
ALX4	613451
ALX4	615529
ALXDRD	203450
ALYUS	617126
AMACR	214950
AMACR	614307
AMACRD	214950
AMACRD	614307
AMB11	609423
AMBN	616270
AMCBX1	300291
AMCBX1	300301
AMCBX1	300584
AMCBX1	300636
AMCBX1	300640
AMCBX1	308300
AMCBX2	300645
AMCBX2	306400
AMCD1	108120
AMCD1	601680
AMCD1	609285
AMCD2B	601680
AMCX1	301830
AMDD	112600
AMDD	609441
AMDD	616849
AMDM	602875
AMDM	615923
AMDM	616255
AME	218030
AMELX	301200
AMER1	300373
AMG	301200
AMGX	301200
AMH	261550
AMHR	261550
AMHR2	261550
AML1	601399
AML1	601626
AML3	119600
AML3	156510
AMMECR1	300990
AMN	261100
AMN	300100
AMOXAD	204750
AMOXAD	615025
AMPD1	615511
AMPD2	615686
AMPD2	615809
AMPD3	612874
AMPHL	255200
AMRF	254900
AMRS	615553
AMS	200110
AMS	209885
AMS	227260
AMSH	614261
AMT	605899
AN2	106210
AN2	120200
AN2	120430
AN2	136520
AN2	148190
AN2	165550
AN2	604229
AN2	617141
AN3	617142
ANALBA	615999
ANALBA	616000
ANCO1	148050
ANCR	105830
ANDD	246700
ANE1	608033
ANES	612079
ANG	611895
ANGPT5	605019
ANGPTL3	605019
ANGPTL4	615881
ANH1	300751
ANH1	300752
ANHD	106190
ANIB1	1
ANIB11	11
ANIB2	2
ANIB3	3
ANIB4	4
ANIB5	5
ANIB7	7
ANIB8	8
ANK	118600
ANK	123000
ANK1	182900
ANK2	600919
ANK3	615493
ANKH	118600
ANKH	123000
ANKLE2	616681
ANKRD11	148050
ANKRD15	612900
ANKRD25	616099
ANKRD26	188000
ANKS6	615382
ANKTM1	615040
ANLN	616032
ANM	605355
ANO10	613728
ANO3	615034
ANO5	166260
ANO5	611307
ANO5	613319
ANO6	262890
ANON2	164230
ANON2	209880
ANON2	607499
ANON2	610269
ANOP1	4
ANOP2	300166
ANP	612201
ANP	615745
ANPRB	602875
ANPRB	615923
ANPRB	616255
ANT1	609283
ANT1	613983
ANT1	615418
ANT1	617184
ANTXR1	230740
ANTXR1	602089
ANTXR2	228600
ANXA5	614391
ANXD2	617396
AOA	208920
AOA1	208920
AOA2	602433
AOA2	606002
AOA4	613402
AOA4	616267
AOF2	616728
AOFMD	136880
AOFMD	169150
AOFMD	608133
AOFMD	608161
AOFMD	613105
AOI	108720
AOI	108721
AOI	112310
AOI	150250
AOI	272460
AOMS1	1
AOMS3	615812
AOS1	100300
AOS2	614219
AOS3	614814
AOS4	615297
AOS5	109730
AOS5	616028
AOS6	616589
AOVD1	109730
AOVD1	616028
AOVD2	614823
AP162	611497
AP17	600740
AP19	609313
AP1S1	609313
AP1S2	304340
AP1S3	616106
AP2S1	600740
AP2TF	113620
AP3B1	608233
AP3B2	617276
AP3D1	617050
AP4B1	614066
AP4E1	184450
AP4E1	613744
AP4M1	612936
AP4S1	614067
AP5Z1	613647
APBD	232500
APBD	263570
APC	114500
APC	114550
APC	135290
APC	175100
APC	613659
APC2	617169
APCDD1	605389
APCL	617169
APDS	615513
APE	260565
APECED	240300
APEG1	615959
APG16L	611081
API3	300635
APLAID	614468
APLAID	614878
APM1	612556
APMR1	1
APMR2	2
APMR3	3
APNH	616291
APOA1	105200
APOA1	604091
APOA1BP	617186
APOA2	143890
APOA5	144650
APOA5	145750
APOB	144010
APOB	615558
APOC2	207750
APOC3	614028
APOE	104310
APOE	269600
APOE	603075
APOE	611771
APOE	617347
APOER2	608446
APOL1	612551
APOL2	181500
APOL4	181500
APOP	220110
APOPT1	220110
APP	104300
APP	605714
APP3	613159
APPL	616511
APPL1	616511
APRF	147060
APRF	615952
APRT	614723
APRTD	614723
APS1	240300
APT1	601859
APT1LG1	211980
APT1LG1	601859
APTX	208920
APUG	614262
APUG	617022
APUG	617025
AQDQ	252010
AQDQ	256000
AQP0	615274
AQP1	110450
AQP2	125800
AQP3	607457
AQP5	600231
AQP7	614411
AR	176807
AR	300068
AR	300633
AR	312300
AR	313200
ARA	177850
ARA	264800
ARA	614473
ARA267	117550
ARA267	130650
ARA267	601626
ARA9	102200
ARA9	219090
ARA9	600634
ARALAR	612949
ARB	153700
ARB	193220
ARB	611809
ARB	613194
ARC	614937
ARC92	605589
ARC92	616449
ARCA2	612016
ARCC2	116600
ARCI1	242300
ARCI10	615024
ARCI11	602400
ARCI12	617320
ARCI2	242100
ARCI3	606545
ARCI4A	242500
ARCI4A	601277
ARCI4B	242500
ARCI4B	601277
ARCI5	604777
ARCI6	612281
ARCI7	7
ARCI8	613943
ARCI9	615023
ARCL1A	219100
ARCL1A	608895
ARCL1A	614434
ARCL1B	614437
ARCL1C	613177
ARCL2A	219200
ARCL2A	278250
ARCL2B	612940
ARCL2B	614438
ARCL2C	617402
ARCL2D	617403
ARCL3A	219150
ARCL3A	601162
ARCL3A	616586
ARCL3A	616603
ARCL3B	612940
ARCL3B	614438
ARCN1	617164
ARCND1	602483
ARCND2	614669
ARCND3	612798
ARCND3	615706
ARD1	300855
ARD1	309800
ARD1A	300855
ARD1A	309800
AREI	607936
ARFGEF2	608097
ARG1	207800
ARGP1	615863
ARH	603813
ARHGAP2	604356
ARHGAP26	607785
ARHGAP31	100300
ARHGDIA	615244
ARHGEF10	608236
ARHGEF6	300436
ARHGEF9	300607
ARHP	241520
ARHR	241520
ARHR2	125853
ARHR2	208000
ARHR2	601665
ARHR2	613312
ARHR2	615522
ARIA	603013
ARID1A	614607
ARID1B	135900
ARIX	602078
ARK1	114500
ARL13B	612291
ARL2BP	615434
ARL2L1	612291
ARL6	209900
ARL6	600151
ARL6	613575
ARL6IP1	615685
ARMC4	615451
ARMC5	615954
ARMD1	603075
ARMD10	10
ARMD11	105150
ARMD11	611953
ARMD13	610984
ARMD13	612923
ARMD13	615439
ARMD14	217000
ARMD14	612924
ARMD14	615489
ARMD14	615561
ARMD15	613825
ARMD15	615591
ARMD2	153800
ARMD2	248200
ARMD2	601718
ARMD2	604116
ARMD3	219100
ARMD3	608895
ARMD3	614434
ARMD4	126700
ARMD4	235400
ARMD4	609814
ARMD4	610698
ARMD5	133540
ARMD5	211980
ARMD5	214150
ARMD5	278800
ARMD5	600630
ARMD5	613761
ARMD5	616946
ARMD6	610381
ARMD6	613757
ARMD7	600142
ARMD7	610149
ARMD7	616779
ARMD8	613778
ARMD9	611378
ARMD9	612925
ARMD9	613779
ARMS	617296
ARNT2	615926
ARO	139300
ARO	613546
ARP1	615779
ARPKD	263200
ARS	616459
ARSA	250100
ARSACS	270550
ARSB	253200
ARSC	308100
ARSC1	308100
ARSE	302950
ART	601665
ART4	616060
ARTEMIS	602450
ARTEMIS	603554
ARV1	617020
ARVC10	610193
ARVC10	612877
ARVC2	600996
ARVC2	604772
ARVC5	604400
ARVC5	614302
ARVC7	181400
ARVC7	601419
ARVC7	604765
ARVC7	615325
ARVD1	107970
ARVD1	615582
ARVD10	610193
ARVD10	612877
ARVD11	610476
ARVD12	601214
ARVD12	611528
ARVD13	615616
ARVD2	600996
ARVD2	604772
ARVD3	3
ARVD4	4
